italian,preferred_chinese,pos,category,note
carreggiata,车行道,noun,道路结构,
corsia,车道,noun,道路结构,
banchina,路肩,noun,道路结构,
marciapiede,人行道,noun,道路结构,
attraversamento pedonale,人行横道,noun_phrase,交通设施,
dare precedenza,让行,verb_phrase,优先通行,
diritto di precedenza,优先通行权,noun_phrase,优先通行,
divieto di transito,禁止通行,noun_phrase,禁令,
senso unico,单行道,noun_phrase,通行方向,
senso vietato,禁止驶入,noun_phrase,禁令,
sorpasso,超车,noun,驾驶行为,
fermata,临时停车,noun,停车,
sosta,停车,noun,停车,
segnale,标志,noun,交通标志,
pannello integrativo,辅助牌,noun_phrase,交通标志,
intersezione,交叉路口,noun,道路结构,
rotatoria,环岛,noun,道路结构,
veicolo,车辆,noun,交通参与者,
conducente,驾驶人,noun,交通参与者,
pedone,行人,noun,交通参与者,
ciclista,骑自行车者,noun,交通参与者,
