chapter,italian,chinese,pronunciation,example_it,example_zh,note,image,source_name,source_url,license_note,copyright_status,word_id
道路标志,segnale,标志,sen-YA-le,Rispettare sempre il segnale stradale.,必须始终遵守道路标志。,通用词,,,,,no_image,WORD_000001
道路标志,segnale di pericolo,危险标志,sen-YA-le di pe-RI-ko-lo,Il segnale di pericolo avvisa di una situazione rischiosa.,危险标志提醒前方有风险情况。,三角形常见,,,,,no_image,WORD_000002
道路标志,segnale di divieto,禁止标志,sen-YA-le di di-VYE-to,Il segnale di divieto vieta un comportamento.,禁止标志表示某种行为被禁止。,圆形常见,,,,,no_image,WORD_000003
道路标志,segnale di obbligo,强制标志,sen-YA-le di ob-BLI-go,Il segnale di obbligo impone una direzione o un comportamento.,强制标志要求某个方向或行为。,圆形蓝底常见,,,,,no_image,WORD_000004
道路标志,precedenza,优先通行权,pre-che-DEN-tsa,Dare precedenza ai veicoli provenienti da destra.,给右侧来车让行。,考试高频,,,,,no_image,WORD_000005
道路标志,stop,停车让行。,stop,Al segnale di stop bisogna fermarsi.,遇到停车让行标志时，车辆必须完全停下并让有优先权的车辆先行。,基础词条；原文含停车让行标志说明。,,,,,no_image,WORD_000006
道路标志,senso vietato,禁止驶入,SEN-so vye-TA-to,Il senso vietato non consente l'accesso ai veicoli.,禁止驶入不允许车辆进入。,注意和禁行区别,,,,,no_image,WORD_000007
道路标志,senso unico,单行道,SEN-so U-ni-ko,In una strada a senso unico si circola in una sola direzione.,单行道只能按一个方向行驶。,,,,,,no_image,WORD_000008
道路标志,attraversamento pedonale,人行横道,at-tra-ver-sa-MEN-to pe-do-NA-le,Rallentare vicino all'attraversamento pedonale.,接近人行横道要减速。,行人优先,,,,,no_image,WORD_000009
道路标志,rotatoria,环岛,ro-ta-TO-ria,Nella rotatoria bisogna rispettare la precedenza.,在环岛内要遵守优先规则。,,,,,,no_image,WORD_000010
行驶规则,corsia,车道,KOR-sia,La corsia di emergenza non deve essere usata senza motivo.,非必要不得使用应急车道。,,,,,,no_image,WORD_000011
行驶规则,carreggiata,车行道,kar-red-DJA-ta,La carreggiata e' la parte della strada destinata ai veicoli.,车行道是道路中供车辆行驶的部分。,,,,,,no_image,WORD_000012
行驶规则,incrocio,交叉路口,in-KRO-cho,All'incrocio bisogna moderare la velocita'.,到交叉路口必须控制速度。,,,,,,no_image,WORD_000013
行驶规则,sorpasso,超车,sor-PAS-so,Il sorpasso e' vietato in condizioni di scarsa visibilita'.,视线不良时禁止超车。,高频规则,,,,,no_image,WORD_000014
